"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014739","BOSTON, MA US","2015-08-01","10.51",,"0.00","0.0","79","90","68","  290","  270","25.9","35.1",,,,,,,,
"USW00014739","BOSTON, MA US","2015-08-02","11.41",,"0.00","0.0","78","88","68","  230","  240","19.9","25.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-08-03","12.75",,"0.00","0.0","78","90","68","  200","  220","23.0","30.0",,,"    1",,,,,
"USW00014739","BOSTON, MA US","2015-08-04","9.40",,"0.49","0.0","76","89","66","  250","  250","38.0","51.0","    1","    1","    1",,"    1",,,
"USW00014739","BOSTON, MA US","2015-08-05","10.51",,"0.00","0.0","75","85","65","  260","  260","23.0","29.1",,,,,,,,
"USW00014739","BOSTON, MA US","2015-08-06","9.17",,"0.00","0.0","74","82","65","  300","  290","18.1","21.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-08-07","7.83",,"0.00","0.0","70","73","64","   80","  100","16.1","19.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-08-08","6.26",,"0.00","0.0","67","76","61","   90",,"14.1",,,,,,,,,
"USW00014739","BOSTON, MA US","2015-08-09","8.72",,"0.00","0.0","66","73","62","   30","   30","19.9","25.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-08-10","10.29",,"0.00","0.0","70","83","63","  190","  190","21.0","23.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-08-11","9.62",,"0.83","0.0","68","72","64","  180","  190","21.0","23.9","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-08-12","8.95",,"0.00","0.0","75","85","68","  250","  260","15.0","21.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-08-13","8.05",,"0.00","0.0","73","82","66","  110","  110","17.0","18.1",,,,,,,,
"USW00014739","BOSTON, MA US","2015-08-14","9.17",,"0.00","0.0","75","86","63","  190","  230","17.0","23.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-08-15","7.61",,"0.08","0.0","76","91","68","  260","  310","19.9","25.1",,,"    1",,,,,
"USW00014739","BOSTON, MA US","2015-08-16","6.71",,"0.00","0.0","75","90","67","  100","   90","17.0","21.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-08-17","7.83",,"0.00","0.0","80","91","71","  110","  260","15.0","21.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-08-18","8.05",,"0.14","0.0","78","87","71","  250","  250","29.1","38.0",,,"    1",,,,"    1",
"USW00014739","BOSTON, MA US","2015-08-19","8.72",,"0.00","0.0","78","88","71","  180","  180","18.1","21.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-08-20","10.74",,"0.00","0.0","73","78","68","   90","   90","21.9","25.1","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-08-21","5.82",,"0.63","0.0","72","83","67","  330","  300","14.1","19.9","    1","    1","    1",,,,"    1",
"USW00014739","BOSTON, MA US","2015-08-22","6.93",,"0.00","0.0","71","73","67","   40","   20","15.0","18.1","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-08-23","8.05",,"0.02","0.0","68","71","67","   50","  140","14.1","25.1","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-08-24","6.04",,"0.00","0.0","71","75","68","  110","  120","14.1","16.1","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-08-25","8.50",,"0.00","0.0","71","81","67","  180","  180","17.0","21.0","    1","    1",,,,,,
"USW00014739","BOSTON, MA US","2015-08-26","7.83",,"0.00","0.0","76","85","69","  280","  270","16.1","21.9","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-08-27","10.07",,"0.00","0.0","74","82","65","  290","  300","17.0","21.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-08-28","7.61",,"0.00","0.0","70","75","64","  110","  300","14.1","18.1",,,,,,,,
"USW00014739","BOSTON, MA US","2015-08-29","7.38",,"0.00","0.0","72","82","63","  260","  250","16.1","21.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-08-30","8.95",,"0.00","0.0","77","88","69","  230","  270","17.0","25.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-08-31","11.18",,"0.00","0.0","80","90","71","  280","  250","21.9","32.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-09-01","9.40",,"0.00","0.0","76","79","69","  100","   90","16.1","19.9",,,,,,,,
"USW00014739","BOSTON, MA US","2015-09-02","9.17",,"0.00","0.0","77","91","66","  250","  270","15.0","21.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-09-03","5.59",,"0.01","0.0","76","82","70","   30","   40","12.1","14.1","    1",,"    1",,,,"    1",
"USW00014739","BOSTON, MA US","2015-09-04","10.74",,"0.00","0.0","69","72","62","   40","   50","23.0","32.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-09-05","7.16",,"0.00","0.0","65","73","58","  110","  110","14.1","16.1",,,,,,,,
"USW00014739","BOSTON, MA US","2015-09-06","9.62",,"0.00","0.0","70","82","61","  190","  260","18.1","23.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-09-07","11.86",,"0.00","0.0","77","93","66","  240","  230","21.0","25.1",,,,,,,,
"USW00014739","BOSTON, MA US","2015-09-08","7.38",,"0.20","0.0","81","96","72","   50","   40","21.0","23.9",,,,,,,"    1",
"USW00014739","BOSTON, MA US","2015-09-09","12.75",,"0.00","0.0","80","93","72","  200","  220","21.9","28.0",,,,,,,,
"USW00014739","BOSTON, MA US","2015-09-10","10.96",,"0.17","0.0","74","77","64","   50","   40","21.0","25.9","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-09-11","9.84",,"0.66","0.0","65","73","63","   10","   30","25.1","33.1","    1",,,,,,,
"USW00014739","BOSTON, MA US","2015-09-12","6.49",,"0.01","0.0","66","71","60","  120","  120","16.1","17.0","    1",,,,,,,
